county_fips,state,mean_risk,max_risk,n_years,risk_rank
29041,MO,0.2621198975338263,0.6926201801036521,12,1629
27139,MN,0.2618217578420214,0.6249382895625227,6,1630
01107,AL,0.26167101516765917,0.470356599390464,9,1631
01011,AL,0.2614935696852456,0.663681470677924,11,1632
47133,TN,0.26147363702667153,0.4704525267461512,8,1633
18147,IN,0.26146636429733155,0.5319486213306608,7,1634
17017,IL,0.2610948602003723,0.5777660482567769,7,1635
51125,VA,0.26109088183104595,0.4722238611214426,7,1636
48375,TX,0.26105440213284686,0.5864077776173031,6,1637
55049,WI,0.26105011834898667,0.5364845565061125,8,1638
05081,AR,0.2607870343027753,0.4942038493603106,7,1639
28117,MS,0.2602617688107271,0.5842165284791047,8,1640
48463,TX,0.26024871321519794,0.7010037016119582,8,1641
51085,VA,0.2601948023070424,0.7044259688141842,9,1642
47035,TN,0.2600995080961147,0.3733136974793979,8,1643
28007,MS,0.25999171367558654,0.5243732388646951,8,1644
47123,TN,0.25985338730080343,0.5946184922164323,6,1645
13277,GA,0.2598227900346036,0.6055382300955288,8,1646
29053,MO,0.259763903102415,0.7394859108060133,10,1647
31127,NE,0.2596623902660942,0.843547174787558,13,1648
19131,IA,0.2595559994081135,0.7139983021669661,12,1649
51165,VA,0.25944166870314744,0.5776806033316533,5,1650
40091,OK,0.2594374813495748,0.8171884339704203,13,1651
